"","bag_ID","rhodo_acer","DM_start_g","DM_end_g","tin_g","tin_DM_g","tin_ash_g","date_dep","date_coll","stream","QC","hole","notes","unique.id","DM_start_handloss_g","afdm_start","prop_sample_afdm","afdm_final","percent_afdm_rem_C","bag_n"
"94","C0094","A",4.95,2.56,3.6047,5.3591,3.8905,2017-09-21,2017-11-15,"WS14","","","","C0094/A/2017-09-21/2017-11-15/WS14",4.5975,4.37922359286486,0.837095303237574,2.14296397628819,48.934792454529,"0094"
"95","C0095","A",5.03,2.48,3.6258,5.2442,3.8182,2017-09-21,2017-11-15,"WS14","","","","C0095/A/2017-09-21/2017-11-15/WS14",4.6775,4.45542541721053,0.88111715274345,2.18517053880376,49.0451603198838,"0095"
"96","C0096","A",5.08,2.8,2.0482,3.3007,2.2474,2017-09-21,2017-11-15,"WS14","","","","C0096/A/2017-09-21/2017-11-15/WS14",4.7275,4.50305155742657,0.840958083832336,2.35468263473054,52.2908211176735,"0096"
"97","C0097","R",5.22,4.11,1.7539,5.6079,1.9145,2017-10-19,2017-12-18,"WS27","","","","C0097/R/2017-10-19/2017-12-18/WS27",5.16375,4.93492123076769,0.958329008822003,3.93873222625843,79.8134770966894,"0097"
"98","C0098","R",5.3,4.36,3.6336,7.9307,3.8857,2017-10-19,2017-12-18,"WS27","","","","C0098/R/2017-10-19/2017-12-18/WS27",5.24375,5.0113760743332,0.941332526587699,4.10420981592237,81.8978610873553,"0098"
"99","C0099","R",5.08,4.35,3.6327,6.5146,3.761,2017-10-19,2017-12-18,"WS27","","","","C0099/R/2017-10-19/2017-12-18/WS27",5.02375,4.80112525452804,0.955480759221347,4.15634130261286,86.5701493351569,"0099"
"100","C0100","R",5,4.22,3.5087,7.6137,3.7383,2017-10-19,2017-12-18,"WS27","","","","C0100/R/2017-10-19/2017-12-18/WS27",4.94375,4.72467041096253,0.944068209500609,3.98396784409257,84.3226616368556,"0100"
"101","C0101","R",5.15,4.62,3.6621,8.0836,3.9044,2017-10-19,2017-12-18,"WS31","","","","C0101/R/2017-10-19/2017-12-18/WS31",5.09375,4.86802324264787,0.945199592898338,4.36682211919032,89.7042167123071,"0101"
"102","C0102","R",5.15,4.36,3.6026,6.2854,3.7439,2017-10-19,2017-12-18,"WS31","","","","C0102/R/2017-10-19/2017-12-18/WS31",5.09375,4.86802324264787,0.947331146563292,4.13036379901595,84.8468380929365,"0102"
"103","C0103","R",4.97,4.38,3.6463,6.7373,3.8126,2017-10-19,2017-12-18,"WS31","","","","C0103/R/2017-10-19/2017-12-18/WS31",4.91375,4.69599984462547,0.946198641216435,4.14435004852798,88.2527722668296,"0103"
"104","C0104","R",5.06,4.18,7.7371,5.5974,1.9062,2017-10-19,2017-12-18,"WS31","","","","C0104/R/2017-10-19/2017-12-18/WS31",5.00375,4.78201154363667,-1.72510164976399,-7.21092489601346,-150.792712025317,"0104"
"105","C0105","R",4.91,3.95,1.76,5.4347,1.9193,2017-10-19,2017-12-18,"WS36","","","","C0105/R/2017-10-19/2017-12-18/WS36",4.85375,4.63865871195133,0.956649522409993,3.77876561351947,81.4624624955404,"0105"
"106","C0106","R",5.09,4.09,2.0341,5.9135,2.212,2017-10-19,2017-12-18,"WS36","","","","C0106/R/2017-10-19/2017-12-18/WS36",5.03375,4.81068210997373,0.95414239315358,3.90244238799814,81.1203546355187,"0106"
"107","C0107","R",4.94,4.33,1.7604,5.4385,1.9492,2017-10-19,2017-12-18,"WS36","","","","C0107/R/2017-10-19/2017-12-18/WS36",4.88375,4.6673292782884,0.948669149832794,4.107737418776,88.0104482425201,"0107"
"108","C0108","R",4.98,4.02,3.5925,6.32,3.7491,2017-10-19,2017-12-18,"WS36","","","","C0108/R/2017-10-19/2017-12-18/WS36",4.92375,4.70555670007115,0.942584784601283,3.78919083409716,80.5258777147423,"0108"
"109","C0109","R",5,4.51,3.6451,7.2805,3.832,2017-10-19,2017-12-18,"WS32","","","","C0109/R/2017-10-19/2017-12-18/WS32",4.94375,4.72467041096253,0.948588876052154,4.27813583099521,90.5488734424472,"0109"
"110","C0110","R",4.96,4.17,3.6751,6.2195,3.7926,2017-10-19,2017-12-18,"WS32","","","","C0110/R/2017-10-19/2017-12-18/WS32",4.90375,4.68644298917978,0.953820154063826,3.97743004244616,84.8709789413717,"0110"
"111","C0111","R",5.05,4.22,3.5526,7.8544,3.7673,2017-10-19,2017-12-18,"WS32","","","","C0111/R/2017-10-19/2017-12-18/WS32",4.99375,4.77245468819098,0.950090659723837,4.00938258403459,84.0109093954408,"0111"
